tags;type;fill;outline;smooth;coords
rockymountains;polygon;blue;black;0;[250.0, 136.0, 179.0, 178.0, 150.0, 228.0, 157.0, 250.0, 173.0, 245.0, 182.0, 205.0, 201.0, 197.0, 202.0, 182.0, 261.0, 145.0]
rockymountains;oval;red;black;0;[172.0, 172.0, 192.0, 192.0]
greatbasin;polygon;blue;black;0;[224.0, 169.0, 241.0, 172.0, 201.0, 197.0, 202.0, 182.0]
greatbasin;oval;red;black;0;[199.0, 169.0, 219.0, 189.0]
mississippi;polygon;blue;black;0;[246.0, 177.0, 211.0, 200.0, 207.0, 217.0, 194.0, 216.0, 201.0, 197.0, 241.0, 172.0]
appalachians;polygon;blue;black;0;[220.0, 219.0, 249.0, 189.0, 246.0, 177.0, 211.0, 200.0, 207.0, 217.0]
appalachians;oval;red;black;0;[211.0, 195.0, 231.0, 215.0]
mississippi;oval;red;black;0;[197.0, 192.0, 217.0, 212.0]
andes;polygon;blue;black;0;[193.0, 300.0, 216.0, 340.0, 251.0, 413.0, 271.0, 412.0, 254.0, 352.0, 221.0, 307.0, 227.0, 286.0, 207.0, 283.0]
andes;oval;red;black;0;[225.0, 342.0, 245.0, 362.0]
amazon;polygon;blue;black;0;[298.0, 303.0, 242.0, 334.0, 221.0, 307.0, 227.0, 286.0]
amazon;oval;red;black;0;[236.0, 300.0, 256.0, 320.0]
parana;polygon;blue;black;0;[308.0, 365.0, 299.0, 340.0, 271.0, 394.0, 288.0, 408.0]
parana;oval;red;black;0;[282.0, 371.0, 302.0, 391.0]
congo;polygon;blue;black;0;[452.0, 309.0, 495.0, 305.0, 507.0, 321.0, 518.0, 321.0, 519.0, 287.0, 510.0, 278.0, 459.0, 298.0]
congo;oval;red;black;0;[473.0, 290.0, 493.0, 310.0]
niger;polygon;blue;black;0;[432.0, 286.0, 391.0, 242.0, 405.0, 230.0, 436.0, 230.0, 443.0, 280.0]
niger;oval;red;black;0;[408.0, 245.0, 428.0, 265.0]
atlas;polygon;blue;black;0;[422.0, 197.0, 407.0, 189.0, 378.0, 235.0, 391.0, 242.0, 405.0, 230.0]
atlas;oval;red;black;0;[384.0, 212.0, 404.0, 232.0]
sahara;polygon;blue;black;0;[496.0, 204.0, 503.0, 233.0, 436.0, 230.0, 405.0, 230.0, 422.0, 197.0]
sahara;oval;red;black;0;[439.0, 204.0, 459.0, 224.0]
nile;polygon;blue;black;0;[511.0, 203.0, 527.0, 267.0, 512.0, 270.0, 503.0, 233.0, 496.0, 204.0]
nile;oval;red;black;0;[504.0, 228.0, 524.0, 248.0]
alps;polygon;blue;black;0;[433.0, 166.0, 465.0, 175.0, 467.0, 183.0, 427.0, 183.0, 424.0, 174.0]
alps;oval;red;black;0;[433.0, 171.0, 453.0, 191.0]
danube;polygon;blue;black;0;[426.0, 153.0, 460.0, 158.0, 486.0, 177.0, 483.0, 188.0, 465.0, 175.0, 433.0, 166.0]
danube;oval;red;black;0;[445.0, 157.0, 465.0, 177.0]
volga;polygon;blue;black;0;[512.0, 172.0, 499.0, 153.0, 458.0, 148.0, 486.0, 173.0]
volga;oval;red;black;0;[479.0, 155.0, 499.0, 175.0]
urals;polygon;blue;black;0;[488.0, 132.0, 511.0, 147.0, 512.0, 161.0, 476.0, 135.0]
urals;oval;red;black;0;[485.0, 137.0, 505.0, 157.0]
ob;polygon;blue;black;0;[521.0, 131.0, 535.0, 180.0, 518.0, 181.0, 511.0, 147.0, 488.0, 132.0]
ob;oval;red;black;0;[507.0, 142.0, 527.0, 162.0]
arabia;polygon;blue;black;0;[555.0, 211.0, 581.0, 239.0, 553.0, 260.0, 524.0, 221.0]
arabia;oval;red;black;0;[544.0, 223.0, 564.0, 243.0]
indus;polygon;blue;black;0;[593.0, 230.0, 603.0, 196.0, 573.0, 199.0, 586.0, 224.0]
indus;oval;red;black;0;[578.0, 199.0, 598.0, 219.0]
taklamakan;polygon;blue;black;0;[647.0, 217.0, 647.0, 209.0, 607.0, 186.0, 602.0, 210.0]
taklamakan;oval;red;black;0;[610.0, 191.0, 630.0, 211.0]
himalayas;polygon;blue;black;0;[598.0, 221.0, 645.0, 239.0, 673.0, 237.0, 647.0, 217.0, 602.0, 210.0]
himalayas;oval;red;black;0;[630.0, 209.0, 650.0, 229.0]
ganges;polygon;blue;black;0;[619.0, 254.0, 598.0, 221.0, 645.0, 239.0]
ganges;oval;red;black;0;[617.0, 230.0, 637.0, 250.0]
kalahari;polygon;blue;black;0;[512.0, 344.0, 512.0, 381.0, 470.0, 385.0, 462.0, 353.0]
kalahari;oval;red;black;0;[481.0, 357.0, 501.0, 377.0]
greatvictorian;polygon;blue;black;0;[722.0, 357.0, 711.0, 382.0, 670.0, 410.0, 658.0, 398.0, 693.0, 356.0]
greatvictorian;oval;red;black;0;[681.0, 367.0, 701.0, 387.0]
