tags;type;fill;outline;smooth;coords
lasa;polygon;blue;black;0;[289.0, 361.0, 290.0, 376.0, 275.0, 376.0, 276.0, 361.0]
lasa;point;red;black;0;[283.0, 371.0]
lanzhou;polygon;blue;black;0;[385.0, 288.0, 400.0, 288.0, 403.0, 303.0, 386.0, 302.0, 386.0, 289.0]
lanzhou;point;red;black;0;[394.0, 296.0]
xian;polygon;blue;black;0;[452.0, 321.0, 454.0, 336.0, 438.0, 336.0, 437.0, 323.0]
xian;point;red;black;0;[446.0, 331.0]
chengdu;polygon;blue;black;0;[414.0, 372.0, 416.0, 388.0, 400.0, 386.0, 400.0, 373.0]
chengdu;point;red;black;0;[407.0, 382.0]
chongqing;polygon;blue;black;0;[430.0, 374.0, 432.0, 388.0, 417.0, 389.0, 416.0, 372.0]
chongqing;point;red;black;0;[426.0, 381.0]
wuhan;polygon;blue;black;0;[513.0, 357.0, 515.0, 376.0, 495.0, 375.0, 496.0, 358.0]
wuhan;point;red;black;0;[506.0, 368.0]
guangzhou;polygon;blue;black;0;[512.0, 438.0, 513.0, 455.0, 496.0, 455.0, 496.0, 441.0]
guangzhou;point;red;black;0;[504.0, 449.0]
jiulong;polygon;blue;black;0;[526.0, 454.0, 526.0, 469.0, 510.0, 469.0, 510.0, 457.0]
jiulong;point;red;black;0;[519.0, 462.0]
xianggang;polygon;blue;black;0;[528.0, 468.0, 529.0, 485.0, 510.0, 483.0, 511.0, 470.0]
xianggang;point;red;black;0;[520.0, 477.0]
taibei;polygon;blue;black;0;[598.0, 412.0, 599.0, 431.0, 576.0, 431.0, 576.0, 415.0]
taibei;point;red;black;0;[587.0, 422.0]
shanghai;polygon;blue;black;0;[584.0, 345.0, 587.0, 364.0, 565.0, 364.0, 564.0, 345.0]
shanghai;point;red;black;0;[576.0, 355.0]
nanjing;polygon;blue;black;0;[561.0, 331.0, 560.0, 352.0, 541.0, 350.0, 540.0, 334.0]
nanjing;point;red;black;0;[551.0, 342.0]
jinan;polygon;blue;black;0;[534.0, 284.0, 537.0, 301.0, 520.0, 300.0, 520.0, 286.0]
jinan;point;red;black;0;[529.0, 293.0]
taiyuan;polygon;blue;black;0;[492.0, 271.0, 493.0, 289.0, 471.0, 289.0, 470.0, 274.0]
taiyuan;point;red;black;0;[480.0, 281.0]
beijing;polygon;blue;black;0;[518.0, 250.0, 518.0, 266.0, 503.0, 266.0, 502.0, 251.0]
beijing;point;red;black;0;[510.0, 258.0]
tianjin;polygon;blue;black;0;[533.0, 258.0, 533.0, 275.0, 517.0, 276.0, 517.0, 263.0]
tianjin;point;red;black;0;[525.0, 267.0]
qingdao;polygon;blue;black;0;[560.0, 284.0, 562.0, 300.0, 546.0, 299.0, 545.0, 285.0]
qingdao;point;red;black;0;[553.0, 291.0]
dalian;polygon;blue;black;0;[569.0, 250.0, 571.0, 268.0, 551.0, 267.0, 552.0, 251.0]
dalian;point;red;black;0;[561.0, 261.0]
shenyang;polygon;blue;black;0;[574.0, 210.0, 575.0, 230.0, 560.0, 234.0, 554.0, 213.0]
shenyang;point;red;black;0;[567.0, 223.0]
fushun;polygon;blue;black;0;[595.0, 220.0, 595.0, 235.0, 577.0, 236.0, 578.0, 217.0]
fushun;point;red;black;0;[586.0, 228.0]
changchun;polygon;blue;black;0;[603.0, 193.0, 606.0, 212.0, 585.0, 211.0, 585.0, 195.0]
changchun;point;red;black;0;[596.0, 205.0]
harbin;polygon;blue;black;0;[603.0, 167.0, 605.0, 186.0, 583.0, 186.0, 581.0, 169.0]
harbin;point;red;black;0;[593.0, 178.0]
